iter	MultiClass
0	3.051412977
1	2.903520414
2	2.789886332
3	2.694987118
4	2.615349371
5	2.553374431
6	2.498052042
7	2.449232259
8	2.406097283
9	2.362920797
10	2.329946135
11	2.301122462
12	2.27342859
13	2.249980762
14	2.228954265
15	2.208811619
16	2.19163607
17	2.176554149
18	2.160095583
19	2.145022778
20	2.132182863
21	2.120223522
22	2.107111565
23	2.097347064
24	2.08592235
25	2.077878714
26	2.066532026
27	2.058590827
28	2.05035826
29	2.043264151
30	2.034079832
31	2.02762691
32	2.021834566
33	2.016721019
34	2.009332263
35	2.002402025
36	1.996559588
37	1.9906534
38	1.984414533
39	1.979608265
40	1.973688457
41	1.969403677
42	1.963927422
43	1.961088114
44	1.95738348
45	1.954844892
46	1.950762346
47	1.945839374
48	1.940163865
49	1.936531185
50	1.933155089
51	1.930178152
52	1.926283431
53	1.92201338
54	1.917891706
55	1.91499822
56	1.91121638
57	1.9076625
58	1.903625523
59	1.901751211
60	1.90010001
61	1.897584564
62	1.894568701
63	1.891471717
64	1.888766024
65	1.885826852
66	1.884169689
67	1.882399396
68	1.880867448
69	1.878089301
70	1.87649017
71	1.874719277
72	1.871359124
73	1.869225178
74	1.867273762
75	1.864771865
76	1.862929601
77	1.860912899
78	1.858882044
79	1.855437118
80	1.853101511
81	1.851538861
82	1.848330651
83	1.845731216
84	1.842520609
85	1.841309285
86	1.840203196
87	1.83853293
88	1.834741958
89	1.833975398
90	1.832941454
91	1.830598942
92	1.827545072
93	1.824352405
94	1.823452012
95	1.821869069
96	1.819978453
97	1.817772556
98	1.815086851
99	1.814399965
100	1.8114341
101	1.809351743
102	1.807373266
103	1.806426324
104	1.804797508
105	1.802642221
106	1.800723828
107	1.798671365
108	1.795483265
109	1.793705855
110	1.791983035
111	1.791008158
112	1.788313141
113	1.787355117
114	1.786386869
115	1.784590528
116	1.781575688
117	1.780125954
118	1.777809351
119	1.776332432
120	1.775306776
121	1.774022869
122	1.772692088
123	1.772065042
124	1.770602559
125	1.769551018
126	1.767398274
127	1.766104719
128	1.764420181
129	1.762219789
130	1.76086417
131	1.75969067
132	1.759002861
133	1.757080809
134	1.756256961
135	1.755559801
136	1.752499035
137	1.750413489
138	1.747843762
139	1.745996788
140	1.7449994
141	1.744256744
142	1.740758407
143	1.738733483
144	1.736405708
145	1.734974493
146	1.733659149
147	1.73293278
148	1.731807648
149	1.729671722
150	1.727083124
151	1.726136336
152	1.724952905
153	1.724444232
154	1.723723919
155	1.722915654
156	1.721407436
157	1.720377395
158	1.720154983
159	1.718320963
160	1.717125612
161	1.716764734
162	1.715935043
163	1.714947456
164	1.713032878
165	1.710319093
166	1.710097069
167	1.709233036
168	1.707705362
169	1.706832293
170	1.706230828
171	1.705392102
172	1.704958338
173	1.704424762
174	1.703223912
175	1.702696296
176	1.702455754
177	1.701524356
178	1.700994978
179	1.700062764
180	1.697117147
181	1.696635754
182	1.695375331
183	1.694636595
184	1.693858379
185	1.693009511
186	1.692024236
187	1.691441345
188	1.691234969
189	1.689586811
190	1.689285874
191	1.688267573
192	1.6874029
193	1.686872168
194	1.685830479
195	1.685311607
196	1.682510355
197	1.682034699
198	1.680868261
199	1.679670239
200	1.678832605
201	1.677589068
202	1.676486396
203	1.675922289
204	1.673398721
205	1.672390392
206	1.671929996
207	1.670931089
208	1.669921876
209	1.667150858
210	1.664734177
211	1.664379936
212	1.663424468
213	1.662599705
214	1.662248535
215	1.661340668
216	1.659811494
217	1.65768633
218	1.656742883
219	1.655923215
220	1.65398737
221	1.653324107
222	1.650899348
223	1.647770529
224	1.647044014
225	1.646370478
226	1.644696932
227	1.643135778
228	1.641918544
229	1.641115223
230	1.640348382
231	1.638268268
232	1.635851008
233	1.633885626
234	1.633201434
235	1.631799697
236	1.630848405
237	1.629120877
238	1.628789694
239	1.626442364
240	1.626010786
241	1.624770631
242	1.623660203
243	1.621669568
244	1.621392303
245	1.620557158
246	1.619933349
247	1.618883334
248	1.616504639
249	1.616122876
250	1.615776784
251	1.615435026
252	1.614942064
253	1.613999613
254	1.613398811
255	1.611153825
256	1.610187018
257	1.610027294
258	1.609174959
259	1.608324077
260	1.606402663
261	1.604173099
262	1.603418974
263	1.601275876
264	1.600585875
265	1.600045896
266	1.59940027
267	1.597248386
268	1.595489642
269	1.59294923
270	1.590652967
271	1.589022211
272	1.586694572
273	1.585017956
274	1.582814763
275	1.581672937
276	1.579766539
277	1.579063738
278	1.578651736
279	1.577326837
280	1.57706297
281	1.576482507
282	1.574669838
283	1.574439353
284	1.571987323
285	1.570131662
286	1.569334719
287	1.568812741
288	1.566594912
289	1.564856411
290	1.564407934
291	1.563210107
292	1.561637126
293	1.559415499
294	1.558920996
295	1.556827902
296	1.556293079
297	1.554510467
298	1.553530338
299	1.552413004
300	1.550486259
301	1.549808726
302	1.548731127
303	1.547428277
304	1.545560041
305	1.544207684
306	1.542502725
307	1.540663634
308	1.538640452
309	1.538187682
310	1.536352133
311	1.534012313
312	1.532960108
313	1.532710852
314	1.532541003
315	1.531314988
316	1.529238041
317	1.52698292
318	1.526573099
319	1.525329015
320	1.524875138
321	1.524289398
322	1.523709659
323	1.52271605
324	1.521078346
325	1.518947767
326	1.517542334
327	1.516656293
328	1.516053172
329	1.515839529
330	1.514524425
331	1.512962497
332	1.512684655
333	1.510573499
334	1.508371965
335	1.507587359
336	1.507084494
337	1.506757155
338	1.506521716
339	1.50493464
340	1.503224673
341	1.502061187
342	1.501741936
343	1.500565505
344	1.500376545
345	1.498330976
346	1.496888743
347	1.495301158
348	1.49328484
349	1.492948477
350	1.49249348
351	1.491710621
352	1.490549706
353	1.489860167
354	1.489099917
355	1.486754136
356	1.48646387
357	1.486131885
358	1.485411958
359	1.485025003
360	1.482871393
361	1.48176588
362	1.481304177
363	1.478827696
364	1.477462947
365	1.476791467
366	1.47661478
367	1.475778181
368	1.475584823
369	1.475334774
370	1.47422174
371	1.473514732
372	1.472853768
373	1.471307258
374	1.471074579
375	1.470115681
376	1.469920807
377	1.468451622
378	1.468079065
379	1.466545719
380	1.465366422
381	1.464916588
382	1.462500928
383	1.46220499
384	1.461860129
385	1.461447805
386	1.460094492
387	1.458409232
388	1.457387726
389	1.456057413
390	1.455787211
391	1.455052685
392	1.453686483
393	1.45333827
394	1.45197615
395	1.449705549
396	1.449255159
397	1.449079406
398	1.44879665
399	1.447283149
400	1.446959573
401	1.445457562
402	1.443750903
403	1.442240969
404	1.441967009
405	1.440462753
406	1.438151471
407	1.43685447
408	1.436616993
409	1.435876453
410	1.434217913
411	1.432883661
412	1.431161933
413	1.430567126
414	1.428698961
415	1.42781684
416	1.427261791
417	1.425988451
418	1.4257628
419	1.423915548
420	1.422713872
421	1.421645282
422	1.420438807
423	1.419463908
424	1.419208736
425	1.418848329
426	1.417877536
427	1.417442094
428	1.416162765
429	1.414705964
430	1.414550955
431	1.413844815
432	1.41167187
433	1.409521141
434	1.409091516
435	1.408920273
436	1.407199697
437	1.405541371
438	1.404949304
439	1.403998437
440	1.402897284
441	1.40277769
442	1.402008084
443	1.401270917
444	1.399579976
445	1.399409716
446	1.398015519
447	1.396027623
448	1.394353497
449	1.39322614
450	1.391996116
451	1.391112041
452	1.390775108
453	1.390636562
454	1.389160831
455	1.388274646
456	1.386837262
457	1.385794357
458	1.384512318
459	1.383670579
460	1.383561075
461	1.381617471
462	1.379828841
463	1.379412612
464	1.379206091
465	1.377615645
466	1.377295133
467	1.376507413
468	1.376102335
469	1.375266695
470	1.374657033
471	1.373583616
472	1.371919745
473	1.370091079
474	1.369611556
475	1.368747532
476	1.367408246
477	1.367061151
478	1.366913006
479	1.366322991
480	1.364518558
481	1.36436836
482	1.362569578
483	1.360483579
484	1.359972742
485	1.359201064
486	1.358957491
487	1.358577859
488	1.357655443
489	1.356561239
490	1.356032639
491	1.354416675
492	1.35425115
493	1.354057644
494	1.353306745
495	1.353011139
496	1.352535681
497	1.352387225
498	1.351906008
499	1.351454205
500	1.350088761
501	1.349597535
502	1.349146839
503	1.347690601
504	1.347621908
505	1.347110693
506	1.346344148
507	1.344788175
508	1.344069989
509	1.343388002
510	1.341415239
511	1.340626535
512	1.338747312
513	1.337671855
514	1.337097298
515	1.335726452
516	1.335081264
517	1.334454996
518	1.332782837
519	1.33201744
520	1.330214576
521	1.328214149
522	1.327870471
523	1.32604801
524	1.325885967
525	1.325288838
526	1.325069582
527	1.323035291
528	1.321721472
529	1.320674519
530	1.319929713
531	1.318426679
532	1.317920907
533	1.316400457
534	1.315661986
535	1.314896737
536	1.314020793
537	1.313578755
538	1.312645557
539	1.312081352
540	1.311143592
541	1.309802885
542	1.30795401
543	1.306909434
544	1.306058633
545	1.305806095
546	1.305550097
547	1.305159097
548	1.30387586
549	1.303647104
550	1.303088562
551	1.301123775
552	1.299333293
553	1.297882599
554	1.296489031
555	1.295393295
556	1.294188062
557	1.293359975
558	1.293093522
559	1.291541624
560	1.291298329
561	1.290952736
562	1.290140368
563	1.289901857
564	1.289756781
565	1.28888477
566	1.28782599
567	1.287469681
568	1.286889809
569	1.285628018
570	1.284451605
571	1.283318205
572	1.282026862
573	1.280299219
574	1.278795283
575	1.278724652
576	1.2778175
577	1.276341813
578	1.274732693
579	1.274005695
580	1.271948463
581	1.270450264
582	1.269086866
583	1.267943557
584	1.267044985
585	1.266809683
586	1.266180325
587	1.265536432
588	1.265316223
589	1.264536157
590	1.263306895
591	1.262759211
592	1.262648586
593	1.261649183
594	1.260169825
595	1.259788135
596	1.258648134
597	1.258077196
598	1.257660742
599	1.257528495
600	1.256926716
601	1.25643176
602	1.254878096
603	1.254279135
604	1.253633408
605	1.253132727
606	1.252036167
607	1.250473371
608	1.249156851
609	1.247647274
610	1.246694458
611	1.246240869
612	1.245673632
613	1.244577835
614	1.243356516
615	1.242518305
616	1.242081899
617	1.24177333
618	1.240590172
619	1.240346004
620	1.239126254
621	1.23898958
622	1.238040204
623	1.237729883
624	1.23637819
625	1.234927719
626	1.233227787
627	1.232836092
628	1.232727453
629	1.231775503
630	1.231524686
631	1.230880535
632	1.230356038
633	1.228816573
634	1.227809221
635	1.226791957
636	1.226163707
637	1.225599909
638	1.224180966
639	1.223710973
640	1.222663178
641	1.221383709
642	1.219866372
643	1.219355617
644	1.218496167
645	1.217423577
646	1.215645628
647	1.215475034
648	1.214796321
649	1.214345518
650	1.213967389
651	1.213402638
652	1.211835108
653	1.21126464
654	1.209981843
655	1.208898925
656	1.208579827
657	1.20714441
658	1.206544413
659	1.204985565
660	1.204838506
661	1.20413656
662	1.203786943
663	1.202129487
664	1.201900487
665	1.201097217
666	1.201010974
667	1.200541191
668	1.199778627
669	1.199484542
670	1.198157159
671	1.196669166
672	1.195940316
673	1.194592165
674	1.194348388
675	1.194140112
676	1.192545211
677	1.191879392
678	1.190445701
679	1.189039588
680	1.187698733
681	1.186599073
682	1.185218844
683	1.183696386
684	1.182188493
685	1.18196524
686	1.181788255
687	1.181230428
688	1.180190231
689	1.179101129
690	1.17733209
691	1.176160029
692	1.175241554
693	1.174221432
694	1.174088843
695	1.173707186
696	1.173100668
697	1.171446085
698	1.171219227
699	1.170879553
700	1.169192585
701	1.169075729
702	1.168864277
703	1.167611344
704	1.166397441
705	1.165489681
706	1.163908283
707	1.162647102
708	1.16112198
709	1.159898892
710	1.159086556
711	1.158776613
712	1.158453744
713	1.158221072
714	1.157644813
715	1.156564277
716	1.156386901
717	1.156083838
718	1.155145276
719	1.154708935
720	1.153216752
721	1.152764001
722	1.151682043
723	1.150836246
724	1.149530024
725	1.148509794
726	1.147957263
727	1.147138862
728	1.145810404
729	1.145052927
730	1.143743197
731	1.142480158
732	1.14157159
733	1.141419859
734	1.140818878
735	1.139200033
736	1.138945224
737	1.137510701
738	1.137342106
739	1.137118252
740	1.136169807
741	1.135680007
742	1.135433231
743	1.134875739
744	1.133524743
745	1.133045966
746	1.132769127
747	1.132100741
748	1.131440878
749	1.130495879
750	1.129997961
751	1.129578955
752	1.128907853
753	1.128798494
754	1.12785714
755	1.126909883
756	1.125656224
757	1.124238393
758	1.123017437
759	1.122127587
760	1.121022555
761	1.120321142
762	1.119907442
763	1.119317742
764	1.119149111
765	1.118106286
766	1.11753994
767	1.116345659
768	1.116200825
769	1.115929446
770	1.115735851
771	1.114495427
772	1.113413971
773	1.111921497
774	1.111280218
775	1.110769158
776	1.110650845
777	1.109696784
778	1.109501915
779	1.108983868
780	1.107698629
781	1.1071358
782	1.107010013
783	1.106651334
784	1.105785057
785	1.104745399
786	1.103751075
787	1.102692275
788	1.101988864
789	1.101422785
790	1.100356633
791	1.09922645
792	1.098602102
793	1.097350909
794	1.09713266
795	1.096354331
796	1.095938787
797	1.095475922
798	1.094547209
799	1.093563647
800	1.092403135
801	1.091059281
802	1.090673851
803	1.090202176
804	1.089513532
805	1.089322991
806	1.08864966
807	1.088116471
808	1.087254995
809	1.087180489
810	1.086687282
811	1.086524096
812	1.085616418
813	1.085114905
814	1.084157817
815	1.08387581
816	1.083474518
817	1.082617116
818	1.081900855
819	1.080617677
820	1.079436647
821	1.078487139
822	1.076890751
823	1.076456281
824	1.076110527
825	1.075354431
826	1.075000767
827	1.074655571
828	1.073972264
829	1.073094406
830	1.072551797
831	1.072124687
832	1.071195989
833	1.07102662
834	1.070095637
835	1.069057865
836	1.068002388
837	1.067481679
838	1.067073527
839	1.066047278
840	1.064979221
841	1.064681977
842	1.063571157
843	1.063040056
844	1.062776393
845	1.061439276
846	1.061110303
847	1.060491772
848	1.060135405
849	1.059789221
850	1.058937997
851	1.058490231
852	1.057462109
853	1.057001253
854	1.056515307
855	1.055365685
856	1.055168501
857	1.054751251
858	1.053509509
859	1.052179395
860	1.051332686
861	1.050262946
862	1.05011948
863	1.048800472
864	1.048660524
865	1.048175269
866	1.047940698
867	1.047793535
868	1.046559143
869	1.045387776
870	1.045118417
871	1.044207624
872	1.043780148
873	1.042751678
874	1.042281783
875	1.041064102
876	1.040963535
877	1.039900674
878	1.039544987
879	1.038498446
880	1.038379738
881	1.038233803
882	1.037919359
883	1.037602635
884	1.037533629
885	1.037468168
886	1.03711981
887	1.03606878
888	1.035872262
889	1.034857464
890	1.033871413
891	1.033384267
892	1.032970577
893	1.031669463
894	1.031016014
895	1.030257581
896	1.030112139
897	1.029007724
898	1.028927469
899	1.028667451
900	1.027838775
901	1.027592653
902	1.027042927
903	1.026803056
904	1.026698463
905	1.026166561
906	1.02509319
907	1.02434468
908	1.024275882
909	1.024059967
910	1.023228987
911	1.022988487
912	1.022387502
913	1.021525424
914	1.021214303
915	1.020788538
916	1.020125662
917	1.019100894
918	1.018656832
919	1.018278007
920	1.018191709
921	1.017325002
922	1.016004488
923	1.015628776
924	1.015240729
925	1.014541112
926	1.013460165
927	1.013118092
928	1.012817172
929	1.012620686
930	1.011639641
931	1.011242258
932	1.010371535
933	1.010144566
934	1.009881254
935	1.009647006
936	1.00865904
937	1.008517062
938	1.007709574
939	1.006666416
940	1.006283925
941	1.005490221
942	1.005317061
943	1.004614611
944	1.003947362
945	1.002804674
946	1.00270828
947	1.002554554
948	1.00183392
949	1.001527115
950	1.000762492
951	0.9998814948
952	0.9988071176
953	0.997772735
954	0.997112381
955	0.9959348528
956	0.9956539809
957	0.9953859556
958	0.9943793524
959	0.9941244314
960	0.9935168175
961	0.9932969106
962	0.9923041476
963	0.9922180842
964	0.9918542907
965	0.9908794669
966	0.9900935384
967	0.9891721823
968	0.9880025581
969	0.9871704642
970	0.9866481378
971	0.986579883
972	0.9864128891
973	0.9863012496
974	0.9859284367
975	0.9851395819
976	0.9850334621
977	0.9842514989
978	0.9840845812
979	0.9832109736
980	0.9823040127
981	0.981876351
982	0.9813967465
983	0.9806641954
984	0.9801636612
985	0.9792225005
986	0.9783167723
987	0.978081763
988	0.9777535322
989	0.9766307061
990	0.9761646933
991	0.9753080667
992	0.9748526393
993	0.9745510732
994	0.974364527
995	0.9736613498
996	0.9726478918
997	0.9724050382
998	0.9719810108
999	0.971264517
