iter	Passed	Remaining
0	73	73560
1	84	42050
2	92	30768
3	100	25131
4	108	21584
5	113	18782
6	119	17003
7	126	15738
8	133	14712
9	140	13890
10	147	13249
11	154	12695
12	160	12204
13	167	11787
14	174	11456
15	181	11148
16	187	10853
17	194	10613
18	201	10388
19	209	10243
20	215	10055
21	222	9885
22	229	9731
23	235	9587
24	243	9478
25	249	9363
26	256	9253
27	263	9156
28	270	9060
29	277	8958
30	283	8870
31	290	8777
32	297	8706
33	303	8626
34	310	8553
35	316	8484
36	323	8411
37	329	8347
38	336	8284
39	342	8227
40	349	8169
41	356	8125
42	363	8081
43	369	8038
44	376	7993
45	383	7944
46	389	7905
47	397	7878
48	403	7829
49	409	7783
50	416	7745
51	423	7727
52	431	7704
53	437	7670
54	444	7633
55	451	7606
56	457	7574
57	464	7547
58	470	7511
59	477	7481
60	484	7453
61	490	7424
62	497	7403
63	504	7376
64	511	7355
65	517	7329
66	523	7296
67	530	7277
68	537	7254
69	543	7226
70	550	7207
71	557	7181
72	563	7161
73	570	7141
74	577	7119
75	583	7097
76	590	7078
77	597	7066
78	604	7046
79	610	7023
80	617	7000
81	625	7002
82	632	6987
83	639	6969
84	646	6956
85	652	6937
86	659	6919
87	666	6905
88	673	6894
89	680	6877
90	687	6868
91	694	6854
92	701	6839
93	707	6823
94	717	6833
95	724	6823
96	730	6803
97	737	6788
98	744	6771
99	750	6753
100	756	6737
101	763	6722
102	770	6708
103	776	6690
104	783	6676
105	790	6662
106	796	6648
107	803	6634
108	809	6620
109	816	6604
110	823	6593
111	830	6584
112	838	6579
113	845	6570
114	852	6558
115	858	6542
116	865	6533
117	872	6519
118	880	6516
119	886	6503
120	893	6489
121	900	6478
122	907	6470
123	914	6457
124	920	6442
125	927	6431
126	933	6419
127	940	6410
128	948	6402
129	954	6389
130	962	6381
131	968	6370
132	975	6361
133	983	6357
134	991	6349
135	997	6340
136	1004	6328
137	1012	6326
138	1019	6316
139	1027	6312
140	1034	6302
141	1042	6300
142	1049	6288
143	1055	6277
144	1062	6265
145	1069	6255
146	1076	6245
147	1083	6235
148	1089	6225
149	1096	6215
150	1103	6206
151	1110	6196
152	1117	6185
153	1123	6173
154	1130	6161
