iter	Passed	Remaining
0	58	58199
1	58	29257
2	58	19561
3	59	14742
4	59	11829
5	59	9888
6	59	8501
7	60	7453
8	60	6651
9	60	6009
10	61	5491
11	61	5047
12	61	4684
13	61	4359
14	62	4080
15	62	3832
16	62	3613
17	62	3421
18	62	3245
19	62	3086
20	63	2948
21	63	2819
22	63	2700
23	64	2603
24	64	2510
25	64	2421
26	64	2336
27	65	2262
28	65	2188
29	65	2127
30	66	2064
31	66	2004
32	66	1954
33	67	1911
34	67	1862
35	67	1816
36	68	1770
37	68	1733
38	68	1697
39	69	1661
40	69	1625
41	70	1597
42	70	1563
43	70	1531
44	70	1505
45	71	1480
46	71	1453
47	71	1427
48	72	1403
49	72	1379
50	72	1356
51	73	1332
52	73	1312
53	73	1293
54	74	1272
55	74	1251
56	74	1234
57	74	1217
58	75	1199
59	75	1183
60	75	1166
61	75	1149
62	76	1134
63	76	1119
64	76	1105
65	77	1090
66	77	1075
67	77	1061
68	77	1047
69	77	1034
70	78	1031
71	79	1018
72	79	1007
73	79	995
74	79	983
75	80	974
76	80	964
77	80	955
78	81	946
79	81	936
80	81	925
81	82	921
82	83	920
83	83	914
84	84	905
85	84	897
86	84	890
87	85	882
88	85	876
89	86	869
90	86	863
91	86	854
92	86	846
93	87	838
94	87	833
95	87	828
96	88	820
97	88	813
98	88	807
99	88	800
100	89	794
101	89	788
102	89	782
103	90	775
104	90	769
105	90	764
106	90	758
107	91	752
108	91	747
109	91	742
110	92	737
111	92	731
112	92	726
113	92	721
114	93	716
115	93	712
116	93	706
117	93	701
118	94	697
119	94	693
120	94	688
121	94	683
122	95	679
123	95	676
124	96	672
125	96	668
126	96	664
127	96	659
128	97	657
129	97	653
130	97	649
131	98	645
132	98	641
133	98	638
134	99	635
135	99	631
136	99	627
137	99	623
138	100	620
139	100	617
140	100	613
141	101	610
142	101	607
143	101	604
144	101	600
145	102	596
146	102	593
147	102	590
148	102	587
149	103	583
150	103	581
151	103	578
152	103	575
153	104	573
154	104	569
155	104	567
156	105	564
157	105	561
158	105	558
159	105	555
160	106	556
161	106	553
162	107	550
163	107	547
164	107	544
165	107	542
166	108	539
167	108	537
168	108	535
169	109	532
170	109	530
171	109	527
172	109	525
173	110	523
174	110	520
175	110	519
176	111	516
177	111	514
178	111	512
179	111	509
180	112	508
181	112	506
182	112	504
183	113	502
184	113	500
185	113	498
186	114	496
187	114	494
188	114	493
189	115	491
190	115	489
191	115	488
192	116	486
193	116	484
194	116	482
195	117	480
196	117	479
197	117	477
198	118	475
199	118	474
200	118	472
201	119	471
202	119	469
203	120	468
204	120	467
205	120	465
206	120	463
207	121	461
208	121	459
209	121	458
210	122	456
211	122	455
212	122	453
213	122	451
214	123	449
215	123	448
216	123	446
217	124	445
218	124	443
219	124	442
220	125	441
221	125	439
222	125	437
223	125	435
224	126	434
225	126	432
226	126	430
227	126	429
228	127	427
229	127	426
230	127	425
231	128	424
232	128	422
233	128	421
234	129	420
235	129	418
236	129	417
237	129	416
238	130	415
239	130	413
240	130	412
241	131	410
242	131	409
243	131	408
244	132	407
245	132	405
246	132	404
247	132	403
248	133	401
249	133	400
250	133	399
251	134	398
252	134	397
253	134	396
254	135	395
255	135	394
256	135	393
257	136	392
258	136	391
259	136	389
260	137	388
261	137	387
262	137	386
263	138	385
264	138	384
265	138	383
266	139	382
267	139	381
268	139	379
269	139	378
270	140	377
271	140	376
272	140	375
273	141	374
274	141	373
275	141	372
276	142	371
277	142	370
278	142	368
279	143	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	145	362
286	145	360
287	145	360
288	146	359
289	146	358
290	146	357
291	146	356
292	147	355
293	147	354
294	147	353
295	148	352
296	148	351
297	148	350
298	149	349
299	149	348
300	149	347
301	150	346
302	150	345
303	150	344
304	151	344
305	151	343
306	151	342
307	152	341
308	152	340
309	152	339
310	153	339
311	153	338
312	153	337
313	153	336
314	154	335
315	154	334
316	154	333
317	155	332
318	155	331
319	155	330
320	156	330
321	156	329
322	156	328
323	157	328
324	157	327
325	158	326
326	158	325
327	158	325
328	159	324
329	159	323
330	159	323
331	160	322
332	160	321
333	160	320
334	161	319
335	161	318
336	161	318
337	161	317
338	162	316
339	162	315
340	162	314
341	163	314
342	163	313
343	164	313
344	164	312
345	164	311
346	165	310
347	165	310
348	165	309
349	166	308
350	166	307
351	166	306
352	166	305
353	167	305
354	167	304
355	167	303
356	168	302
357	168	302
358	168	301
359	169	300
360	169	300
361	169	299
362	170	298
363	170	297
364	170	296
365	171	296
366	171	295
367	171	294
368	171	294
369	172	293
370	172	292
371	172	291
372	173	291
373	173	290
374	173	289
375	174	289
376	174	288
377	175	287
378	175	287
379	175	286
380	175	285
381	176	285
382	176	284
383	176	283
384	177	283
385	177	282
386	177	281
387	178	280
388	178	280
389	178	279
390	179	279
391	179	278
392	179	278
393	180	277
394	180	276
395	181	276
396	181	275
397	181	274
398	181	274
399	182	273
400	182	272
401	182	271
402	183	271
403	183	270
404	183	270
405	184	269
406	184	268
407	184	267
408	184	267
409	185	266
410	185	265
411	185	265
412	185	264
413	186	263
414	186	262
415	186	261
416	186	261
417	187	260
418	187	259
419	187	259
420	188	258
421	188	257
422	188	257
423	188	256
424	189	255
425	189	255
426	189	254
427	190	254
428	190	253
429	190	252
430	191	252
431	191	251
432	191	251
433	192	250
434	192	250
435	192	249
436	193	249
437	193	248
438	193	247
439	194	247
440	194	246
441	194	246
442	195	245
443	195	244
444	195	244
445	196	243
446	196	243
447	197	242
448	197	242
449	197	241
450	197	240
451	198	240
452	198	239
453	198	239
454	199	238
455	199	238
456	199	237
457	200	236
458	200	236
459	200	235
460	200	234
461	201	234
462	201	233
463	201	233
464	202	232
465	202	231
466	202	231
467	202	230
468	203	229
469	203	229
470	203	228
471	203	228
472	204	227
